City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,57.61,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
1,Hilo,US,75.61,mist,19.7297,-155.09,Hilo Hawaiian Hotel
3,Rikitea,PF,71.51,few clouds,-23.1203,-134.9692,People ThankYou
6,Agadir,MA,64.85,clear sky,30.4202,-9.5982,Iberostar Founty Beach
7,San Luis De La Paz,MX,68.7,clear sky,21.3,-100.5167,Hotel Real San Luis
9,Khatanga,RU,59.74,broken clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
12,Nikolskoye,RU,63.81,overcast clouds,59.7035,30.7861,Tourist House - Sablino
13,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
21,At-Bashi,KG,70.45,clear sky,41.1702,75.8106,Hostel At-Bashy
22,Coolum Beach,AU,70.34,broken clouds,-26.5333,153.1,Palmer Coolum Resort
23,Urengoy,RU,51.12,light rain,65.9667,78.3667,Gostinnitsa Medveditsa
24,Hobart,AU,55.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
25,Kodiak,US,56.71,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
29,Tuktoyaktuk,CA,50.0,broken clouds,69.4541,-133.0374,End of The Road Ltd.
30,Maneadero,MX,67.1,overcast clouds,31.7167,-116.5667,Casa De Thompson
32,Tura,IN,79.52,light rain,25.5198,90.2201,Hotel RIKMAN Continental
33,Corner Brook,CA,60.96,clear sky,48.9667,-57.9484,Glynmill Inn
37,Port Lincoln,AU,59.86,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
39,Derzhavinsk,KZ,62.98,clear sky,51.1,66.3167,Ooo.khim Baza
40,Kenai,US,65.03,scattered clouds,60.5544,-151.2583,Aspen Extended Stay Suites
41,Tiksi,RU,56.1,broken clouds,71.6872,128.8694,Arktika
43,Bredasdorp,ZA,52.92,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
44,Butaritari,KI,78.96,moderate rain,3.0707,172.7902,Isles Sunset Lodge
45,Sechura,PE,67.12,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
47,Sao Joao Da Barra,BR,69.66,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
49,Mazyr,BY,61.27,broken clouds,52.0495,29.2456,Euro Mini-Hotel
50,Port-Gentil,GA,75.33,overcast clouds,-0.7193,8.7815,Fengshui Residence
51,Poum,NC,73.18,scattered clouds,-20.2333,164.0167,Gîte kajeon
57,Cabedelo,BR,72.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
58,Kaitangata,NZ,51.93,light rain,-46.2817,169.8464,Kaitangata Motor Camp
59,Sao Filipe,CV,73.71,broken clouds,14.8961,-24.4956,Hotel Xaguate
61,Tazovskiy,RU,50.86,overcast clouds,67.4667,78.7,TazHostel
63,Busselton,AU,65.05,clear sky,-33.65,115.3333,Observatory Guest House
64,Hermanus,ZA,52.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
65,Kargil,IN,67.06,broken clouds,34.5667,76.1,Caravan Sarai
66,Bubaque,GW,79.16,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
67,Vao,NC,70.72,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
69,Kruisfontein,ZA,57.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
70,Hofn,IS,51.3,few clouds,64.2539,-15.2082,Hótel Höfn
71,Atuona,PF,78.28,clear sky,-9.8,-139.0333,Villa Enata
72,Winfield,US,78.82,clear sky,37.2398,-96.9956,Sonner Motor Inn
80,Port Alfred,ZA,59.74,scattered clouds,-33.5906,26.891,The Halyards Hotel
81,Port Hardy,CA,62.78,broken clouds,50.6996,-127.4199,Airport Inn
82,Beringovskiy,RU,50.09,overcast clouds,63.05,179.3167,Beringgorski
84,Puerto Ayora,EC,71.55,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
85,Aguimes,ES,69.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
87,Bonthe,SL,75.76,light rain,7.5264,-12.505,Bonthe Holiday Village
88,Ilulissat,GL,50.02,overcast clouds,69.2167,-51.1,Hotel Arctic
90,Nelson Bay,AU,67.95,clear sky,-32.7167,152.15,Mantra Nelson Bay
91,Caorle,IT,74.59,overcast clouds,45.5966,12.8758,Maxim
92,Vestmannaeyjar,IS,50.67,overcast clouds,63.4427,-20.2734,Glamping & Camping
93,Rio Grande,BR,62.49,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
94,Humaita,BR,77.36,clear sky,-7.5061,-63.0208,Corrêa Hotel
98,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
99,Batagay,RU,69.33,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
100,Ribeira Grande,PT,70.23,clear sky,38.5167,-28.7,Quinta da Meia Eira
101,Pisco,PE,62.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
102,Pizarro,CO,75.34,light rain,4.9533,-77.366,Hotel Limonar
104,Thompson,CA,59.16,scattered clouds,55.7435,-97.8558,Burntwood Hotel
