City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
0,Cape Town,ZA,-33.9258,18.4232,57.61,15,0,6.91,2021-07-26 02:22:57,clear sky
1,Hilo,US,19.7297,-155.09,75.61,94,90,8.05,2021-07-26 02:22:57,mist
2,Pine Bluff,US,34.2284,-92.0032,84.13,70,20,0.0,2021-07-26 02:20:08,few clouds
3,Rikitea,PF,-23.1203,-134.9692,71.51,73,22,6.02,2021-07-26 02:22:58,few clouds
4,Lesozavodsk,RU,45.4794,133.4244,90.3,43,100,11.41,2021-07-26 02:22:58,light rain
5,Lemoore,US,36.3008,-119.7829,100.38,19,1,13.8,2021-07-26 02:22:58,smoke
6,Agadir,MA,30.4202,-9.5982,64.85,79,0,4.5,2021-07-26 02:23:00,clear sky
7,San Luis De La Paz,MX,21.3,-100.5167,68.7,77,5,10.71,2021-07-26 02:23:00,clear sky
8,Bluff,NZ,-46.6,168.3333,49.8,84,100,1.52,2021-07-26 02:23:01,light rain
9,Khatanga,RU,71.9667,102.5,59.74,59,70,1.99,2021-07-26 02:23:01,broken clouds
10,Hambantota,LK,6.1241,81.1185,81.34,76,98,17.11,2021-07-26 02:23:01,overcast clouds
11,Aksu,CN,41.1231,80.2644,89.6,17,0,4.21,2021-07-26 02:23:02,clear sky
12,Nikolskoye,RU,59.7035,30.7861,63.81,62,89,4.34,2021-07-26 02:18:39,overcast clouds
13,San Cristobal,VE,7.7669,-72.225,69.98,99,97,2.66,2021-07-26 02:23:02,overcast clouds
14,Upernavik,GL,72.7868,-56.1549,42.71,74,99,3.83,2021-07-26 02:22:51,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,33.46,80,20,4.61,2021-07-26 02:23:02,few clouds
16,Naryan-Mar,RU,67.6713,53.087,43.68,85,89,16.37,2021-07-26 02:22:41,overcast clouds
17,Pevek,RU,69.7008,170.3133,35.94,88,79,10.11,2021-07-26 02:23:03,broken clouds
18,Reforma,MX,18.1,-91.0167,77.05,88,91,3.76,2021-07-26 02:23:03,overcast clouds
19,Srednekolymsk,RU,67.45,153.6833,57.38,39,63,15.37,2021-07-26 02:23:03,broken clouds
20,Mataura,NZ,-46.1927,168.8643,49.48,88,100,1.57,2021-07-26 02:21:07,light rain
21,At-Bashi,KG,41.1702,75.8106,70.45,25,0,0.87,2021-07-26 02:23:04,clear sky
22,Coolum Beach,AU,-26.5333,153.1,70.34,38,61,5.86,2021-07-26 02:23:04,broken clouds
23,Urengoy,RU,65.9667,78.3667,51.12,93,100,8.19,2021-07-26 02:23:04,light rain
24,Hobart,AU,-42.8794,147.3294,55.26,67,75,3.0,2021-07-26 02:21:57,broken clouds
25,Kodiak,US,57.79,-152.4072,56.71,72,1,9.22,2021-07-26 02:22:25,clear sky
26,Mamallapuram,IN,12.6264,80.1722,84.25,62,100,11.54,2021-07-26 02:23:05,overcast clouds
27,Portland,US,45.5234,-122.6762,89.98,43,1,4.0,2021-07-26 02:23:01,clear sky
28,Opuwo,NA,-18.0607,13.84,56.32,46,0,8.75,2021-07-26 02:23:05,clear sky
29,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,81,75,8.05,2021-07-26 02:23:05,broken clouds
30,Maneadero,MX,31.7167,-116.5667,67.1,88,100,1.99,2021-07-26 02:23:06,overcast clouds
31,Mariental,NA,-24.6333,17.9667,49.32,53,52,13.2,2021-07-26 02:23:06,broken clouds
32,Tura,IN,25.5198,90.2201,79.52,88,100,4.32,2021-07-26 02:23:06,light rain
33,Corner Brook,CA,48.9667,-57.9484,60.96,95,0,2.98,2021-07-26 02:23:07,clear sky
34,Emba,KZ,48.8264,58.1442,71.35,47,0,6.6,2021-07-26 02:23:07,clear sky
35,Troitskoye,RU,52.9821,84.6757,70.68,68,68,6.87,2021-07-26 02:23:07,broken clouds
36,Bengkulu,ID,-3.8004,102.2655,81.16,63,0,2.51,2021-07-26 02:23:08,clear sky
37,Port Lincoln,AU,-34.7333,135.8667,59.86,68,64,21.27,2021-07-26 02:23:08,broken clouds
38,Luocheng,CN,29.3848,104.0286,81.46,82,0,1.1,2021-07-26 02:23:08,clear sky
39,Derzhavinsk,KZ,51.1,66.3167,62.98,72,5,14.32,2021-07-26 02:23:08,clear sky
40,Kenai,US,60.5544,-151.2583,65.03,80,40,11.5,2021-07-26 02:23:09,scattered clouds
41,Tiksi,RU,71.6872,128.8694,56.1,79,83,8.88,2021-07-26 02:18:36,broken clouds
42,Cockburn Town,TC,21.4612,-71.1419,82.13,83,100,16.49,2021-07-26 02:18:27,overcast clouds
43,Bredasdorp,ZA,-34.5322,20.0403,52.92,54,100,5.75,2021-07-26 02:23:09,overcast clouds
44,Butaritari,KI,3.0707,172.7902,78.96,87,99,15.84,2021-07-26 02:23:10,moderate rain
45,Sechura,PE,-5.5569,-80.8222,67.12,81,5,13.27,2021-07-26 02:20:34,clear sky
46,Punta Arenas,CL,-53.15,-70.9167,33.91,93,0,12.66,2021-07-26 02:23:10,clear sky
47,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.66,75,0,14.32,2021-07-26 02:23:10,clear sky
48,Mikuni,JP,36.2171,136.1519,87.71,67,0,6.93,2021-07-26 02:23:11,clear sky
49,Mazyr,BY,52.0495,29.2456,61.27,83,64,5.19,2021-07-26 02:23:11,broken clouds
50,Port-Gentil,GA,-0.7193,8.7815,75.33,81,100,7.52,2021-07-26 02:23:11,overcast clouds
51,Poum,NC,-20.2333,164.0167,73.18,70,25,22.15,2021-07-26 02:23:11,scattered clouds
52,Lebu,CL,-37.6167,-73.65,48.42,82,26,17.6,2021-07-26 02:23:12,scattered clouds
53,Kapaa,US,22.0752,-159.319,87.78,79,20,4.0,2021-07-26 02:23:12,light rain
54,Toba,JP,34.4833,136.85,90.32,69,60,1.68,2021-07-26 02:23:12,broken clouds
55,Estacion Coahuila,MX,32.1939,-115.0017,94.96,42,99,10.56,2021-07-26 02:23:13,overcast clouds
56,Saldanha,ZA,-33.0117,17.9442,48.25,41,100,20.89,2021-07-26 02:23:13,overcast clouds
